timestamp,adjClose_ADS.DE,adjClose_SAP.DE,adjClose_VOW3.DE,close_ADS.DE,close_SAP.DE,close_VOW3.DE,high_ADS.DE,high_SAP.DE,high_VOW3.DE,low_ADS.DE,low_SAP.DE,low_VOW3.DE,open_ADS.DE,open_SAP.DE,open_VOW3.DE,volume_ADS.DE,volume_SAP.DE,volume_VOW3.DE,SMA_close_ADS.DE,SMA_close_SAP.DE,SMA_close_VOW3.DE,PER_ADS.DE,PER_SAP.DE,PER_VOW3.DE,ifrs-full:DilutedEarningsLossPerShare_ADS.DE,ifrs-full:DilutedEarningsLossPerShare_SAP.DE,ifrs-full:Equity_ADS.DE,ifrs-full:Equity_SAP.DE,ifrs-full:Equity_VOW3.DE
2018-08-03T00:00:00Z,173.763138,92.875519,123.954269,184.949997,99.089996,143.399994,187.300003,99.580002,145.880005,183.949997,98.540001,140.380005,187.25,99.129997,145.880005,735520,2235056,2353602,0,0,0,18.439999,28.973683,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-04T00:00:00Z,178.131882,93.512878,125.631187,189.600006,99.769997,145.339996,189.899994,99.879997,145.619995,185.649994,99.029999,142.740005,185.649994,99.190002,144.059998,741277,1630363,1176873,0,0,0,18.439999,29.172514,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-07T00:00:00Z,176.816559,93.597229,125.752205,188.199997,99.860001,145.479996,192.149994,100.959999,147.080002,187.449997,99.269997,144.800003,189.800003,100.139999,146.100006,681436,1550121,757639,0,0,0,18.439999,29.198831,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-08T00:00:00Z,178.178848,93.156715,126.962364,189.649994,99.389999,146.880005,191.449997,101.059998,149.100006,188.300003,99.379997,146.220001,188.600006,100.599998,146.460007,595875,1826797,955205,0,0,0,18.439999,29.061403,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-09T00:00:00Z,179.024429,94.084618,127.774902,190.550003,100.379997,147.820007,192.350006,100.739998,148.720001,187.899994,99.209999,145.639999,188.399994,99.400002,146.320007,740569,1812842,908549,0,0,0,18.439999,29.350876,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-10T00:00:00Z,195.888702,94.009644,127.792183,208.5,100.300003,147.839996,210.899994,100.639999,148.800003,202.100006,99.300003,146.619995,202.100006,100.0,147.520004,2821645,1372980,779279,0,0,0,18.439999,29.327486,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-11T00:00:00Z,193.258057,92.46312,124.801369,205.699997,98.650002,144.380005,210.0,99.760002,147.339996,204.399994,98.040001,143.240005,207.300003,99.629997,147.059998,1106033,2870713,1278027,0,0,0,18.439999,28.845030,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-14T00:00:00Z,195.794739,93.822174,124.45562,208.399994,100.099998,143.979996,209.199997,100.82,144.960007,205.199997,98.989998,143.300003,206.300003,99.089996,143.380005,700891,1904698,589321,0,0,0,18.439999,29.269005,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-15T00:00:00Z,196.64032,94.06588,123.522064,209.300003,100.360001,142.899994,211.600006,101.0,145.320007,207.5,99.650002,142.339996,210.0,100.760002,144.940002,663745,1429034,793502,0,0,0,18.439999,29.345030,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-16T00:00:00Z,193.35202,93.072357,119.66687,205.800003,99.300003,138.440002,210.5,101.160004,143.779999,205.100006,99.059998,137.460007,210.300003,100.639999,142.679993,650425,2300498,1962637,0,0,0,18.439999,29.035089,null,10.0,3.42,199000000,1229000000,1283000000
2018-08-17T00:00:00Z,196.076599,95.659256,120.531258,208.699997,102.059998,139.440002,209.399994,102.419998,140.740005,206.5,100.040001,138.899994,207.100006,100.120003,139.919998,655387,2664013,995530,0,0,0,18.439999,29.842105,null,10.0,3.42,199000000,1229000000,1283000000
